Layer,Sink_Score,Magic_Score,Other_Score,Probe_Score
0,0.0017955613136291504,0.0005316853523254395,0.006072948424993495,0.0025210964679718015
1,0.002382707595825195,0.007088470458984375,0.005536712926382326,0.005849745273590089
2,0.005508384704589845,0.004001331329345703,0.005308702352045676,0.004998552799224854
3,0.057626254558563225,0.007477116584777832,0.002118708093650381,0.0022128629684448247
4,0.05860724925994872,0.0012611627578735351,0.0022012642066189837,0.002197442054748535
5,0.07435541093349457,0.005749106407165527,0.0013661885059349048,0.001863244026899338
6,0.05273681163787841,0.0013105392456054688,0.0024492917602027733,0.002070188522338867
7,0.043701813220977784,0.006309819221496582,0.003003125781558178,0.00218353271484375
8,0.05249448776245117,0.0030400753021240234,0.0023459392825105015,0.0024509656429290774
9,0.057600492238998414,0.002500605583190918,0.0022579776055869894,0.001899886131286621
10,0.05218834400177001,0.002459859848022461,0.00254954157178548,0.0029727363586425784
11,0.04240520477294922,0.00282895565032959,0.0031481888938481722,0.002631216049194336
12,0.04534328937530517,0.0036268234252929688,0.002813598210638973,0.003915044069290162
13,0.050407123565673825,0.003095191717147827,0.0027170653302476316,0.0028196218609809875
14,0.041912578344345086,0.001386481523513794,0.003296428276907539,0.001467798203229904
15,0.04138940811157227,0.00566670298576355,0.0034330744044185346,0.003377482295036316
16,0.03689335346221924,0.003272263705730438,0.0036323118195122446,0.002726458180695772
17,0.049177570343017576,0.006260442733764649,0.002469587675494677,0.006125870943069458
18,0.03279484033584595,0.0016211390495300293,0.003975477424029199,0.002775116264820099
19,0.04531101703643799,0.008177435398101807,0.0030951674235673832,0.005939359068870545
20,0.04265052795410156,0.04042520523071289,0.002840962716450067,0.007882161140441895
21,0.041040048599243165,0.01128854751586914,0.0026750159953833467,0.010608169734477996
22,0.036285824775695794,0.010405158996582032,0.003381573471254681,0.00922767758369446
23,0.024918792247772218,0.0060567140579223635,0.004128108388358719,0.00603731907904148
24,0.024338042736053465,0.004871556162834167,0.004448900941401542,0.005008361227810383
25,0.05674907207489014,0.01664947271347046,0.0021692870383081832,0.00695619374513626
26,0.03945485115051269,0.00846102237701416,0.0034127106874887194,0.006439640522003173
27,0.0388592290878296,0.005999612808227539,0.0031223363651437215,0.00533815085887909
28,0.04023306846618652,0.009306669235229492,0.0032796052118523205,0.005126751661300659
29,0.05095625162124634,0.004212379455566406,0.0023763124924768095,0.003785152435302734
30,0.039363961219787594,0.008831977844238281,0.0030678347157716197,0.004922337532043457
31,0.01334609031677246,0.029648208618164064,0.004139678491237475,0.011410408020019533
32,0.011540577411651612,0.0168487548828125,0.0043624161152987385,0.009828753471374513
33,0.00964919090270996,0.005610084533691407,0.004696410552971134,0.00785207509994507
34,0.007473095655441282,0.0024898529052734377,0.0050135446389015,0.008587746620178222
35,0.007154250293970108,0.001076984405517578,0.004941696192504545,0.007459259033203125
